gene,matrix_index
ACAP3,0
AGRN,2
ATAD3A,3
ATAD3B,4
ATAD3C,5
AURKAIP1,6
B3GALT6,7
C1orf159,8
C1orf86,10
CALML6,11
CCNL2,12
CDK11A,13
CDK11B,14
CPSF3L,15
DVL1,16
GABRD,19
GNB1,21
HES4,22
HES5,23
ISG15,24
KLHL17,25
MIB2,26
MMEL1,27
MMP23B,28
MORN1,29
MRPL20,30
MXRA8,31
NADK,32
NOC2L,33
PANK4,36
PEX10,37
PLCH2,38
PLEKHN1,39
PRDM16,40
PRKCZ,41
PUSL1,42
RER1,43
SAMD11,44
SCNN1D,45
SDF4,46
SKI,47
SLC35E2,48
SSU72,49
TAS1R3,50
TMEM52,51
TMEM88B,52
TNFRSF14,53
TNFRSF18,54
TNFRSF4,55
TTLL10,56
UBE2J2,57
VWA1,58
ARHGEF16,59
MEGF6,60
TPRG1L,61
TP73,62
CCDC27,63
LRRC47,64
DFFB,65
C1orf174,66
AJAP1,67
NPHP4,68
KCNAB2,69
CHD5,70
RPL22,71
RNF207,72
ICMT,73
ACOT7,76
HES2,77
ESPN,78
PLEKHG5,79
TNFRSF25,80
NOL9,81
TAS1R1,82
ZBTB48,83
KLHL21,84
PHF13,85
THAP3,86
DNAJC11,87
CAMTA1,88
VAMP3,89
PER3,90
UTS2,91
TNFRSF9,92
PARK7,93
ERRFI1,94
SLC45A1,95
RERE,96
ENO1,97
CA6,98
SLC2A5,100
GPR157,101
H6PD,102
SPSB1,103
SLC25A33,104
TMEM201,105
PIK3CD,107
CLSTN1,108
CTNNBIP1,109
LZIC,110
NMNAT1,111
RBP7,112
UBE4B,113
KIF1B,114
PGD,115
APITD1,116
CORT,117
DFFA,118
PEX14,119
CASZ1,120
C1orf127,121
TARDBP,122
MASP2,123
SRM,124
EXOSC10,125
MTOR,126
ANGPTL7,127
UBIAD1,128
PTCHD2,129
FBXO2,130
FBXO44,131
FBXO6,132
MAD2L2,133
AGTRAP,134
MTHFR,135
CLCN6,136
NPPA,137
NPPB,138
KIAA2013,139
PLOD1,140
MFN2,141
MIIP,142
TNFRSF8,143
TNFRSF1B,144
VPS13D,145
DHRS3,146
HNRNPCL1,150
PRAMEF10,151
PRAMEF17,157
PRAMEF4,163
PRAMEF5,164
PRAMEF8,166
PDPN,169
PRDM2,170
TMEM51,171
FHAD1,172
EFHD2,173
CTRC,174
CELA2B,176
CASP9,177
DNAJC16,178
AGMAT,179
DDI2,180
RSC1A1,181
PLEKHM2,182
FBLIM1,183
SLC25A34,184
TMEM82,185
SPEN,186
ZBTB17,187
C1orf64,188
HSPB7,189
CLCNKA,190
FAM131C,192
EPHA2,193
ARHGEF19,194
FBXO42,195
SPATA21,196
NECAP2,197
ATP13A2,198
CROCC,199
ESPNP,200
MFAP2,201
NBPF1,202
SDHB,203
PADI2,204
PADI1,205
PADI3,206
PADI4,207
PADI6,208
RCC2,209
ARHGEF10L,210
ACTL8,211
IGSF21,212
PAX7,214
TAS1R2,215
ALDH4A1,216
IFFO2,217
UBR4,218
MRTO4,219
AKR7A3,220
AKR7L,221
AKR7A2,222
PQLC2,223
CAPZB,224
NBL1,225
HTR6,226
TMCO4,227
RNF186,228
OTUD3,229
PLA2G2E,230
PLA2G2A,231
PLA2G2D,233
PLA2G2F,234
UBXN10,236
VWA5B1,237
CAMK2N1,238
MUL1,239
CDA,241
PINK1,242
DDOST,243
KIF17,244
SH2D5,245
HP1BP3,246
EIF4G3,247
ECE1,248
NBPF3,249
ALPL,250
RAP1GAP,251
USP48,252
LDLRAD2,253
HSPG2,254
CDC42,255
CELA3A,256
CELA3B,257
WNT4,258
ZBTB40,259
EPHA8,260
C1QA,261
C1QC,262
C1QB,263
EPHB2,264
KDM1A,265
LUZP1,266
HTR1D,267
HNRNPR,268
ZNF436,269
TCEA3,271
ASAP3,272
E2F2,273
ID3,274
RPL11,276
TCEB3,277
GALE,278
HMGCL,279
LYPLA2,280
FUCA1,281
CNR2,282
PNRC2,283
MYOM3,284
IL22RA1,285
GRHL3,286
NIPAL3,287
RCAN3,288
SRRM1,289
CLIC4,290
RUNX3,291
RHD,294
SYF2,295
TMEM50A,296
TMEM57,297
LDLRAP1,298
MAN1C1,299
SEPN1,300
PAQR7,301
STMN1,302
PAFAH2,303
EXTL1,304
SLC30A2,305
TRIM63,306
PDIK1L,307
ZNF593,308
CNKSR1,309
CATSPER4,310
SH3BGRL3,311
UBXN11,312
AIM1L,313
CD52,314
ZNF683,315
LIN28A,316
DHDDS,317
HMGN2,318
RPS6KA1,319
ARID1A,320
PIGV,321
ZDHHC18,322
SFN,323
GPN2,324
GPATCH3,325
NUDC,326
NR0B2,327
FAM46B,330
SLC9A1,331
WDTC1,332
TMEM222,333
SYTL1,334
MAP3K6,335
FCN3,336
CD164L2,337
GPR3,338
WASF2,339
AHDC1,340
FGR,341
IFI6,342
FAM76A,343
STX12,344
PPP1R8,345
SCARNA1,346
RPA2,347
SMPDL3B,348
XKR8,349
EYA3,350
PTAFR,351
DNAJC8,352
ATPIF1,353
SESN2,354
MED18,355
PHACTR4,356
RCC1,357
