sample	variance
A1BG	0.012038191488604497
A1CF	0.03229011027363455
A2M	0.007060704418911929
A2ML1	0.049667359023045185
A4GALT	0.010218434541941239
A4GNT	0.021049925427215368
AAAS	0.002694565329729363
AACS	0.004171660015874765
AADAC	0.036740952596327314
AADACL2	0.019858584741111383
AADACL3	0.017589401950576133
AADACL4	0.016581412057516735
AADAT	0.009926798232647773
AAGAB	0.0032391064782084974
AAK1	0.0030170901970149413
AAMP	0.0025231943041929034
AANAT	0.004498287592642459
AARS	0.002569512553604207
AARS2	0.003026865159590014
AARSD1	0.002328608894714741
AASDH	0.002927487558845955
AASDHPPT	0.0031148981135441433
AASS	0.006790348285372713
AATF	0.0027609870396844366
AATK	0.012508341635954271
ABAT	0.013255724377548631
ABCA1	0.0053842318242953964
ABCA10	0.010271782275634673
ABCA11P	0.004123459230673454
ABCA12	0.03371231450167696
ABCA13	0.03235018872632859
ABCA17P	0.01203169935505236
ABCA2	0.005860606583309817
ABCA3	0.01574260973412162
ABCA4	0.018687063131013183
ABCA5	0.006641298846797106
ABCA6	0.015066314689580595
ABCA7	0.005935850809822183
ABCA8	0.021096164253316882
ABCA9	0.0118147497519598
ABCB1	0.01795921435147082
ABCB10	0.004016564984003568
ABCB11	0.020992408724483002
ABCB4	0.012225600484575104
ABCB5	0.01401560994814867
ABCB6	0.004291415942895146
ABCB7	0.0027527439551716993
ABCB8	0.002585183676654463
ABCB9	0.0046268816512196696
ABCC1	0.007028718035158569
ABCC10	0.0038424043988643324
ABCC11	0.023262294062425828
ABCC12	0.020833842278154966
ABCC13	0.011950886538656096
ABCC2	0.02369499980123022
ABCC3	0.023913902938217914
ABCC4	0.013808569518014051
ABCC5	0.007596847917694183
ABCC6	0.022031695408748483
ABCC6P1	0.021028718369776683
ABCC8	0.029485907386785453
ABCC9	0.011267087687778087
ABCD1	0.00410324921676568
ABCD2	0.011647101913750721
ABCD3	0.0040891333451638446
ABCD4	0.003145530207906765
ABCE1	0.003812402223270739
ABCF1	0.0027889801586765484
ABCF2	0.0027687527368863048
ABCF3	0.002261271824693711
ABCG1	0.005564207591310013
ABCG2	0.011527639074217376
ABCG4	0.01118748172992832
ABCG5	0.014922115068297711
ABCG8	0.0175097431903854
ABHD1	0.00950914283570871
